title,address,lat,lng,link,category,body
Greenville VegFest,"Greenville, SC, USA",34.852619,82.394012,http://www.greenvillevegfest.com/,outdoor,map
Birmingham Vegan Food and Drink Festival,"Manchester, UK",53.4808,2.2426,n/a,outdoor,map
Stroud Vegan Fair,"Stroud, UK",51.7457,2.2178,n/a,outdoor,map
Cardiff Vegan Food and Drink Festival,"Cardiff, UK",51.4816,3.1791,n/a,outdoor,map
Palm Beach VegFest,"Palm Beach, FL, USA",,,https://www.pbvegfest.com/,outdoor,map
Sedona Veg Fest,"Sedona, AZ, USA",,,http://healthyworldsedona.com/sedona-vegfest-2017/,outdoor,map
Arizona Vegetarian Food Festival,"Scottsdale, AZ, USA",,,http://azvegfoodfest.com/,outdoor,map
Chennai VegFest,"Chennai, INDIA",,,n/a,outdoor,map
Veganmania (Indoor),"Innsbruck, AUSTRIA",,,http://www.veganmania.at/,outdoor,map
SacTown VegFest,"Sacramento, CA, USA",,,http://sactownvegfest.org/,outdoor,map
Kingston Yoga & Vegan Food Festival,"Kingston upon Thames, UK",,,http://yogific.com/kingston-yoga-and-vegan-fest/,outdoor,map
SWFL Veg Fest,"Bonita Springs, FL, USA",,,http://www.swflvegfest.org/,outdoor,map
Frome Vegan Fair,"Somerset, UK",,,n/a,outdoor,map
Vegan Life Live London ,"London, UK",,,https://www.veganlifelive.com/,outdoor,map
Plant Fest,"Irvine, CA, USA",,,n/a,outdoor,map
Cardiff Viva! Vegan Festival,"Cardiff, UK",,,http://www.viva.org.uk/festivals/cardiff-2018,outdoor,map
PHX Vegan Beer & Food Festival,"Phoenix, AZ, USA",,,http://phxveganfest.com/,outdoor,map
Puerto Rico Vegan Fest,"Fajardo, PR, USA",,,http://www.puertoricoveganfest.com,outdoor,map
Essex Vegan Festival,"Colchester, Essex, UK",,,n/a,outdoor,map
Portsmouth Vegan Festival,"Portsmouth, UK",,,n/a,outdoor,map
Oxford Yoga and Vegan Festival,"Oxford, UK",,,http://yogific.org/oxford/,outdoor,map
North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,outdoor,map
V313: Detroit's Premier Vegan Celebration,"Detroit, MI, USA",,,https://migreenteam.com/V313,outdoor,map
Oxford Vegan Festival,"Oxford, UK",,,https://www.oxfordveganfestival.com,outdoor,map
Red & Green VegFest Albuquerque,"Albuquerque, NM, USA",,,https://redandgreenvegfestabq.wordpress.com/,outdoor,map
London Viva! Vegan Festival,"London, UK",,,https://www.viva.org.uk/festivals/london-shoreditch-2018,outdoor,map
Love Vegan Festival,"Falkirk, UK",,,https://www.animalaid.org.uk/events/love-vegan-festival/,outdoor,map
Hoffdot Vegan Fest ,"Barreiro, PORTUGAL",,,https://veganariofest.wordpress.com/,outdoor,map
North Florida VegFest,"Tallahassee, FL, USA",,,http://www.northfloridavegfest.com/,outdoor,map
VegOut! Scottsdale Vegan Beer & Food Festival,"Scottsdale, AZ, USA",,,http://vegoutevents.com/,outdoor,map
Walsall Vegan Fair,"Walsall, UK",,,http://veganmidlands.org.uk,outdoor,map
Brighton Vegan Beer Festival,"Brighton, UK",,,http://cowleyclub.org.uk/,outdoor,map
Earth Day Vegan Festival & Forum,"Jakarta, INDONESIA",,,TK,outdoor,map
Live A Better Life Vegan Fair Liverpool,"Liverpool, UK",,,http://www.labl.org.uk,outdoor,map
Des Moines VeganFest,"Des Moines, IA. USA",,,http://veglifedesmoines.org/,outdoor,map
VegFestUK Brighton,"Brighton, UK",,,http://brighton.vegfest.co.uk/,outdoor,map
Vegan Street Fair Los Angeles,"Los Angeles, CA, USA",,,http://www.veganstreetfair.com,outdoor,map
Indy VegFest,"Indianapolis, IN, USA",,,http://www.indyvegfest.com,outdoor,map
Curacao Vegfest,"Willemstad, CURACAO",,,n/a,outdoor,map
Lincoln VEGAN Festival,"Lincoln, UK",,,n/a,outdoor,map
Northern Vegan Festival,"Manchester, UK",,,https://www.northernveganfestival.com,outdoor,map
Valley Vegfest,"Northampton, MA, USA",,,http://www.valleyveg.org/vegfest/,outdoor,map
Texas VegFest,"Austin, TX, USA",,,http://www.texasvegfest.com/,outdoor,map
Nashville VegFest,"Nashville, TN, USA",,,http://www.nashvillevegfest.com/,outdoor,map
Indonesia International Vegan Festival & Forum,"Jakarta, INDONESIA",,,TK,outdoor,map
Wilmington Vegfest,"Wilmington, NC, USA",,,wilmingtonvegfest.com,outdoor,map
Glasgow Vegan Festival,"Glasgow, SCOTLAND",,,n/a,outdoor,map
FarGo's Vegan Festival,"Fargo Village, Coventry, UK",,,n/a,outdoor,map
Puerto Rico VegFest,"Rincon, PR",,,n/a,outdoor,map
Midwest Vegan Fest,"Glendale, WI, USA",,,https://midwestveganfest.com,outdoor,map
Lucca VeganFest,"Lucca, ITALY",,,http://www.veganfest.it/,outdoor,map
NH VegFest,"Manchester, NH, USA",,,http://nhvegfest.com/,outdoor,map
Stroud Yoga and Vegan Festival,"Stroud, UK",,,http://yogific.org/event/stroud-yoga-and-vegan-festival/,outdoor,map
Vegan Life Live Manchester ,"Manchester, UK",,,https://www.veganlifelive.com,outdoor,map
Matlock Vegan Fest,"Derbyshire, UK",,,TK,outdoor,map
Leicester Vegan Festival ,"Leicester, UK",,,n/a,outdoor,map
Noosa Vegan Festival,"Queensland, AUSTRALIA",,,https://noosaveganfestival.com.au/,outdoor,map
Scottish Vegan Festival,"Edinburgh, SCOTLAND",,,http://www.scottishveganfestival.com/,outdoor,map
Didim VegFest,TURKEY,,,http://didimvegfest.com/en/home-3/,outdoor,map
Berkeley Earth Day,"Berkeley, CA, USA",,,http://www.berkeleyveganearthday.com/,outdoor,map
Charleston Sol-Food Veg Fest,"Mount Pleasant, SC, USA",,,http://csfvegfest.com/,outdoor,map
Vegenement Zeeland,TK,,,TK,outdoor,map
New England VegFest,"Worcester, MA, USA",,,http://worcestervegfest.com/,outdoor,map
Michigan VegFest ,"Novi, MI, USA",,,http://vegmichigan.org/activities/vegfest/,outdoor,map
Liverpool Vegan Festival,"Liverpool, UK",,,n/a,outdoor,map
Milwaukee Veg Expo,"Wauwatosa, WI, USA",,,mkevegexpo.com,outdoor,map
Veggie Fest Hamilton,"Hamilton, ON, CANADA",,,http://www.veggiefesthamilton.com/,outdoor,map
North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,outdoor,map
Cleveland VegFest,"Cleveland, OH, USA",,,http://www.clevelandvegansociety.org,outdoor,map
Vegan Amsterdam Festival,"Amsterdam, NETHERLANDS",,,http://www.veganamsterdam.org/,outdoor,map
VegFest Los Angeles,"Los Angeles, CA, USA",,,http://vegfestla.org/home,outdoor,map
Herbivore Festival,"Yucaipa, CA, USA",,,http://herbivorefestival.com/index.html,outdoor,map
Powell River Vegfest,"Powell RIver, BC, CANADA",,,n/a,outdoor,map
Nottingham Viva! Vegan Festival,"Nottingham, UK",,,https://www.viva.org.uk/festivals/nottingham-2018,outdoor,map
Shoreditch Viva! Vegan Festival,"Shoreditch, UK",,,https://www.viva.org.uk/festivals,outdoor,map
Kent Vegan Festival,"Kent, UK",,,https://kentveganfestival.org/,outdoor,map
Vegan Street Fair San Diego Nights,"San Diego, CA, USA",,,http://www.veganstreetfair.com,outdoor,map
Mississauga VegFest,"Mississauga, ON, CANADA",,,http://mississaugavegfest.ca/,outdoor,map
Cork Vegfest,"Cork, IRELAND",,,http://corkvegfest.com,outdoor,map
Argyll Wee Vegan Fair,"Oban, SCOTLAND",,,n/a,outdoor,map
Nijmegen Yoga and Vegan Festival,"Nijmegen, Netherlands",,,https://www.facebook.com/events/325043261340377/,outdoor,map
Oakland VegFest,"Oakland, CA, USA",,,http://www.oaklandvegfest.com/,outdoor,map
NYC Vegetarian Food Festival,"New York, NY, USA",,,http://www.nycvegfoodfest.com/,outdoor,map
Dorset Vegan Festival,"Dorset, UK",,,https://www.veganeventsuk.co.uk/,outdoor,map
Seed Food and Wine LA,"Los Angeles, CA, USA",,,https://www.seedfoodandwinela.com/,outdoor,map
Vegan Foodie Festival Amsterdam,"Amsterdam, NETHERLANDS",,,http://www.veganfoodiefestival.com/,outdoor,map
Rotterdam Vegan Food & Drinks festival,"Rotterdam, NETHERLANDS",,,TK,outdoor,map
Oslo Vegetarfestival,"Oslo, NORWAY",,,https://www.oslovegetarfestival.no/,outdoor,map
Eat Drink Vegan LA,"Pasadena, CA, USA",,,https://eatdrinkvegan.com/,outdoor,map
VegFestUK Bristol,"Bristol, UK",,,http://bristol.vegfest.co.uk/,outdoor,map
Houston Vegandale Food Drink Festival,"Houston, TX, USA",,,www.vegandalefest.com,outdoor,map
Ottawa Veg Fest,"Ottawa, ON, CANADA",,,http://www.vegfest.ca/,outdoor,map
Maine Animal Coalition's Annual Vegetarian Food Festival,"Portland, ME, USA",,,http://www.maineanimalcoalition.org/vegetarian-food-festival,outdoor,map
Albany VegFest,"Albany, NY, USA",,,http://www.albanyvegfest.org/,outdoor,map
Brighton Vegan Summer Festival,"Brighton, UK",,,http://vegansummerfestuk.com/,outdoor,map
